date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-07-19,sh.600276,37.9000,38.8800,37.5100,38.4000,2577741,98029305.0000,3,0.346056,1,0.261100,43.580641,10.405243,8.774521,340.235119,0
2010-07-20,sh.600276,38.4100,39.8500,38.4100,39.6900,2250286,88882880.0000,3,0.302096,1,3.359400,45.044678,10.754794,9.069290,351.664893,0
2010-07-21,sh.600276,39.8800,40.6500,39.5100,40.2000,1358094,54288455.0000,3,0.182321,1,1.285000,45.623483,10.892988,9.185827,356.183640,0
2010-07-22,sh.600276,40.2000,40.5800,39.6300,40.2800,1256099,50345081.0000,3,0.168628,1,0.199000,45.714276,10.914666,9.204107,356.892464,0
2010-07-23,sh.600276,40.3600,41.1800,40.0000,41.0500,1908094,77695708.0000,3,0.256157,1,1.911600,46.588159,11.123313,9.380055,363.714887,0
2010-07-26,sh.600276,41.0000,42.5900,40.7000,42.4200,2200676,92140054.0000,3,0.295436,1,3.337400,48.142989,11.494541,9.693104,375.853483,0
2010-07-27,sh.600276,42.1900,43.2000,41.7000,42.9800,1917747,81419434.0000,3,0.257453,1,1.320100,48.778540,11.646285,9.821066,380.815245,0
2010-07-28,sh.600276,43.0000,43.2500,42.3800,43.0100,2046381,88073173.0000,3,0.274722,1,0.069800,49.110178,11.725466,9.887838,383.404349,0
2010-07-29,sh.600276,43.0000,43.0000,41.4800,41.5900,1912411,80397186.0000,3,0.256737,1,-3.301600,47.488777,11.338343,9.561385,370.746033,0
2010-07-30,sh.600276,41.3000,42.2000,41.1800,41.7700,1329890,55382903.0000,3,0.178535,1,0.432800,47.694307,11.387415,9.602766,372.350608,0
2010-08-02,sh.600276,41.6500,42.8000,41.4300,42.6800,1780636,74934219.0000,3,0.239046,1,2.178600,48.733373,11.635501,9.811972,380.462627,0
2010-08-03,sh.600276,42.8000,42.8000,41.6300,42.1000,2089544,87944866.0000,3,0.280516,1,-1.359000,48.071111,11.477380,9.678632,375.292329,0
2010-08-04,sh.600276,41.7900,42.2800,40.5000,41.0800,2497155,102537323.0000,3,0.335237,1,-2.422800,46.906443,11.199306,9.444138,366.199736,0
2010-08-05,sh.600276,41.1400,42.6100,41.1400,42.1800,2020345,85187706.0000,3,0.271227,1,2.677700,48.162458,11.499190,9.697024,376.005474,0
2010-08-06,sh.600276,42.0000,42.5000,41.3500,42.3500,1495916,62836892.0000,3,0.200823,1,0.403000,48.356569,11.545535,9.736106,377.520906,0
2010-08-09,sh.600276,42.5000,44.3300,42.5000,44.2800,3136863,137546538.0000,3,0.421117,1,4.557300,48.537874,11.297515,9.565515,8794.707288,0
2010-08-10,sh.600276,44.5800,45.8000,43.2800,43.7900,3584310,159508907.0000,3,0.481185,1,-1.106600,48.000757,11.172497,9.459663,8697.385549,0
2010-08-11,sh.600276,43.7500,44.2300,43.3500,44.0400,1662207,72792428.0000,3,0.223147,1,0.570900,48.274796,11.236282,9.513669,8747.039497,0
2010-08-12,sh.600276,43.2000,45.0000,43.1600,44.1200,1409219,62291450.0000,3,0.189184,1,0.181700,48.362489,11.256693,9.530951,8762.928761,0
2010-08-13,sh.600276,44.5000,45.0000,43.5200,44.6900,1985850,87612072.0000,3,0.266596,1,1.291900,48.987299,11.402122,9.654084,8876.139763,0
2010-08-16,sh.600276,44.7200,45.5000,44.6800,44.9700,2765490,124389382.0000,3,0.371261,1,0.626500,49.294223,11.473560,9.714571,8931.752184,0
2010-08-17,sh.600276,44.9600,44.9600,43.8100,44.2000,2416395,107254550.0000,3,0.324395,1,-1.712300,48.450182,11.277104,9.548233,8778.818024,0
2010-08-18,sh.600276,44.2100,44.3000,43.5200,43.6100,3869853,169304189.0000,3,0.519519,1,-1.334800,47.803449,11.126572,9.420779,8661.634707,0
2010-08-19,sh.600276,43.6100,43.9800,42.7700,42.9000,3081987,133301804.0000,3,0.413750,1,-1.628100,47.025176,10.945424,9.267402,8520.617494,0
2010-08-20,sh.600276,42.9000,42.9900,41.2200,41.3900,3250688,135757138.0000,3,0.436397,1,-3.519800,45.369978,10.560166,8.941207,8220.707648,0
2010-08-23,sh.600276,41.4100,41.4100,40.5500,40.9000,2875353,117736393.0000,3,0.386009,1,-1.183900,44.832860,10.435148,8.835356,8123.385909,0
2010-08-24,sh.600276,41.1000,42.0300,40.9100,41.0700,2464584,102004111.0000,3,0.330865,1,0.415600,45.019207,10.478522,8.872080,8157.150594,0
2010-08-25,sh.600276,41.1000,42.2800,40.9000,42.0300,3870855,161432437.0000,3,0.519653,1,2.337500,46.071519,10.723454,9.079462,8347.821755,0
2010-08-26,sh.600276,42.0000,42.5100,41.4800,42.5000,4400479,184614924.0000,3,0.590754,1,1.118200,46.586713,10.843369,9.180993,8441.171177,0
2010-08-27,sh.600276,42.3000,43.3500,42.2100,43.0300,2213275,94982420.0000,3,0.297127,1,1.247100,47.167677,10.978592,9.295485,8546.437547,0
2010-08-30,sh.600276,43.0400,44.2900,42.7000,44.2200,3314119,145792186.0000,3,0.444913,1,2.765500,48.472105,11.282207,9.552553,8782.790340,0
2010-08-31,sh.600276,44.2300,44.6000,43.8000,43.8900,2272844,100321610.0000,3,0.305124,1,-0.746300,48.110373,11.198011,9.481265,8717.247129,0
2010-09-01,sh.600276,43.9200,44.6800,41.8300,43.0300,3068572,134320223.0000,3,0.411949,1,-1.959400,47.167677,10.978592,9.295485,8546.437547,0
2010-09-02,sh.600276,43.0400,43.8500,42.2500,43.3000,3752474,161719319.0000,3,0.503761,1,0.627500,47.463640,11.047480,9.353812,8600.063811,0
2010-09-03,sh.600276,43.2500,44.2500,43.2500,44.0100,2391631,104733332.0000,3,0.321071,1,1.639700,48.241912,11.228628,9.507188,8741.081024,0
2010-09-06,sh.600276,44.1000,44.4400,43.7100,43.8300,1616841,71126506.0000,3,0.217057,1,-0.409000,48.044603,11.182703,9.468304,8705.330181,0
2010-09-07,sh.600276,43.8300,44.1800,43.3200,43.4200,1359598,59217488.0000,3,0.182523,1,-0.935400,47.595179,11.078096,9.379734,8623.897706,0
2010-09-08,sh.600276,43.4300,44.2000,43.2000,44.0400,2013855,88226520.0000,3,0.270355,1,1.427920,48.274796,11.236282,9.513669,8747.039497,0
2010-09-09,sh.600276,44.0500,46.6200,44.0400,45.6800,4639459,211259784.0000,3,0.622837,1,3.723900,50.072496,11.654708,9.867947,9072.769397,0
2010-09-10,sh.600276,45.3500,48.3800,45.3500,47.4600,3411877,161536128.0000,3,0.458037,1,3.896700,52.023657,12.108854,10.252469,9426.305508,0
2010-09-13,sh.600276,47.7000,47.7900,46.0000,46.7000,4663157,218426365.0000,3,0.626018,1,-1.601300,51.190577,11.914949,10.088291,9275.357505,0
2010-09-14,sh.600276,46.6800,49.0100,46.1500,48.4600,4591302,220679315.0000,3,0.616372,1,3.768700,53.119815,12.363992,10.468492,9624.921300,0
2010-09-15,sh.600276,48.4000,49.1500,47.7500,47.9100,2170691,105561594.0000,3,0.291410,1,-1.135000,52.516928,12.223666,10.349679,9515.682614,0
2010-09-16,sh.600276,47.8800,48.6000,46.2000,46.6000,2736040,130177652.0000,3,0.367307,1,-2.734300,51.080961,11.889435,10.066689,9255.495926,0
2010-09-17,sh.600276,46.5500,48.8400,45.6500,48.1400,2712156,129079715.0000,3,0.364101,1,3.304700,52.769044,12.282348,10.399365,9561.364246,0
